epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.14212,2.65776,3.60939,2.06239,0.02661,0.4,0.02355,0.00817,2.37829,4.23389,2.04712,0,0,0
2,9.70169,2.69198,3.76974,2.14829,0.02629,0.4,0.02293,0.00828,2.38393,4.24341,2.05403,1.6505e-05,1.6505e-05,1.6505e-05
3,11.0547,2.62101,4.04477,2.10151,0.02645,0.4,0.0226,0.00822,2.384,4.25247,2.06427,3.26799e-05,3.26799e-05,3.26799e-05
4,12.3582,2.67925,3.74521,2.14187,0.02227,0.34722,0.01965,0.00738,2.38611,4.26694,2.06776,4.85247e-05,4.85247e-05,4.85247e-05
5,13.7498,2.73649,4.1807,2.30357,0.02255,0.34722,0.01962,0.00734,2.39387,4.27836,2.07372,6.40395e-05,6.40395e-05,6.40395e-05
6,15.1789,2.45101,3.68566,2.07169,0.02268,0.34722,0.01977,0.00754,2.41407,4.284,2.09289,7.92242e-05,7.92242e-05,7.92242e-05
7,16.4623,2.54677,3.96615,2.1126,0.10329,0.21111,0.07814,0.0293,2.31909,3.58934,1.98153,9.40788e-05,9.40788e-05,9.40788e-05
8,17.8644,2.59951,3.36989,1.93987,0.1061,0.35556,0.15959,0.06375,2.38588,4.22487,1.97111,0.000108603,0.000108603,0.000108603
9,19.3213,2.45894,2.82252,1.94953,0.51948,0.35432,0.16165,0.0578,2.45647,10.0483,2.02655,0.000122798,0.000122798,0.000122798
10,20.6654,2.50294,2.72386,2.05771,0.44327,0.43056,0.13819,0.05355,2.53381,16.1394,2.0388,0.000136662,0.000136662,0.000136662
11,22.0263,2.37488,2.5647,1.87847,0.25058,0.40556,0.13191,0.0492,2.33304,13.8613,1.94964,0.000150197,0.000150197,0.000150197
12,23.3874,2.20333,2.57634,1.78466,0.39157,0.40556,0.19452,0.07635,2.30639,7.6914,1.94956,0.000163401,0.000163401,0.000163401
13,24.7686,2.16802,2.49189,1.84232,0.51883,0.29365,0.2509,0.09031,2.29636,5.29388,1.87932,0.000176275,0.000176275,0.000176275
14,26.4352,2.27447,2.23126,1.7005,0.2325,0.25556,0.22326,0.07342,2.34415,5.60296,1.90861,0.000188819,0.000188819,0.000188819
15,28.1704,2.05714,2.36696,1.7491,0.18366,0.23333,0.17047,0.05794,2.40145,5.54403,1.93881,0.000201034,0.000201034,0.000201034
16,29.7513,2.21472,2.20803,1.71561,0.12924,0.43889,0.1207,0.04558,2.41993,6.38568,1.94208,0.000212918,0.000212918,0.000212918
17,31.0297,2.09573,2.06284,1.66946,0.12905,0.46667,0.12662,0.04759,2.29524,6.56653,1.91927,0.000224472,0.000224472,0.000224472
18,32.2701,2.1493,2.01072,1.66867,0.12905,0.46667,0.12662,0.04759,2.29524,6.56653,1.91927,0.000235695,0.000235695,0.000235695
19,33.5671,2.06446,1.87748,1.62783,0.12185,0.48889,0.16429,0.06999,2.25458,5.71663,1.87535,0.000246589,0.000246589,0.000246589
20,34.8272,2.03839,2.12093,1.67567,0.12185,0.48889,0.16429,0.06999,2.25458,5.71663,1.87535,0.000257153,0.000257153,0.000257153
21,36.1307,2.0502,1.91251,1.63165,0.2671,0.43889,0.27351,0.10607,2.26395,4.63832,1.91074,0.000267387,0.000267387,0.000267387
22,37.4388,1.80697,1.69263,1.48429,0.2671,0.43889,0.27351,0.10607,2.26395,4.63832,1.91074,0.00027729,0.00027729,0.00027729
23,38.8282,1.89816,1.82361,1.50034,0.28589,0.36944,0.2421,0.07573,2.4206,4.81422,2.02841,0.000286864,0.000286864,0.000286864
24,40.4925,1.9087,1.89911,1.51143,0.28589,0.36944,0.2421,0.07573,2.4206,4.81422,2.02841,0.000296108,0.000296108,0.000296108
25,42.3211,2.06517,1.81878,1.50867,0.14885,0.47778,0.1028,0.03479,2.57444,5.49874,2.11945,0.000305021,0.000305021,0.000305021
26,43.6628,2.0714,2.17171,1.65701,0.14885,0.47778,0.1028,0.03479,2.57444,5.49874,2.11945,0.000313604,0.000313604,0.000313604
27,44.9011,1.92979,1.58581,1.45392,0.15618,0.37222,0.1139,0.04108,2.41458,3.71173,1.98351,0.000321858,0.000321858,0.000321858
28,46.1981,1.7059,1.63122,1.39297,0.15618,0.37222,0.1139,0.04108,2.41458,3.71173,1.98351,0.000329781,0.000329781,0.000329781
29,47.4582,1.81711,1.64335,1.41622,0.19383,0.38292,0.1852,0.06833,2.35146,3.05278,1.95782,0.000337374,0.000337374,0.000337374
30,48.7062,1.74317,1.57574,1.44015,0.19383,0.38292,0.1852,0.06833,2.35146,3.05278,1.95782,0.000344637,0.000344637,0.000344637
31,49.9565,1.75265,1.66415,1.4871,0.24861,0.48837,0.30507,0.10452,2.37153,2.5707,1.97979,0.00035157,0.00035157,0.00035157
32,51.2784,1.70184,1.43634,1.46853,0.24861,0.48837,0.30507,0.10452,2.37153,2.5707,1.97979,0.000358173,0.000358173,0.000358173
33,52.7006,1.71451,1.44232,1.41349,0.31337,0.56466,0.34679,0.11868,2.28567,2.42143,1.97921,0.000364446,0.000364446,0.000364446
34,54.6089,1.63841,1.59386,1.37919,0.31337,0.56466,0.34679,0.11868,2.28567,2.42143,1.97921,0.000370389,0.000370389,0.000370389
35,56.3431,1.75815,1.42629,1.44714,0.23879,0.39722,0.27642,0.10704,2.42994,2.59869,2.01304,0.000376002,0.000376002,0.000376002
36,57.6117,1.59878,1.3616,1.35202,0.23879,0.39722,0.27642,0.10704,2.42994,2.59869,2.01304,0.000381285,0.000381285,0.000381285
37,58.9093,1.63328,1.52731,1.45379,0.42773,0.42365,0.29594,0.12116,2.36758,2.69479,1.94224,0.000386237,0.000386237,0.000386237
38,60.13,1.58728,1.40745,1.35035,0.42773,0.42365,0.29594,0.12116,2.36758,2.69479,1.94224,0.00039086,0.00039086,0.00039086
39,61.378,1.72546,1.40973,1.34797,0.31872,0.40278,0.24129,0.11035,2.31817,2.94513,1.92104,0.000395152,0.000395152,0.000395152
40,62.5873,1.56139,1.3965,1.34424,0.31872,0.40278,0.24129,0.11035,2.31817,2.94513,1.92104,0.000399115,0.000399115,0.000399115
41,63.8733,1.80366,1.5391,1.43295,0.30511,0.42778,0.25859,0.11077,2.41997,2.73257,1.99749,0.000402747,0.000402747,0.000402747
